# chekhov-10 いとしい人（96段落）

## p001（3セグメント）
## p088（1セグメント）
[0] そして彼女は先生のこと、授業のこと、教科書のことを話しはじめる——サーシャがそれについて話すのと同じことを。

## p089（4セグメント）
[0] 二時すぎには二人いっしょに昼食をとり、夕方はいっしょに宿題をして、泣く。
[1] 彼を寝かせるとき、彼女は長いあいだ十字を切ってやり、祈りをささやく。それから自分が寝につくと、遠くかすんだ未来のことを夢に思う。サーシャが学校を終えて医者か技師になり、自分の大きな家と、馬と、馬車を持ち、妻をめとって、子どもが生まれる未来を……
[2] 彼女は眠りに落ちても同じことを考えつづけ、閉じた目から涙が頬を流れる。
[3] そして黒い小猫は彼女のわきに横になって、喉を鳴らしている。

## p090（1セグメント）
[0] 「ごろ……ごろ……ごろ……」

## p091（3セグメント）
[0] ふいにくぐり戸を強く叩く音がする。
[1] オーレンカは目を覚まし、怖ろしさに息もしない。胸が激しく打つ。
[2] 三十秒ほど過ぎて、また叩く音がする。

## p092（3セグメント）
[0] 「ハリコフからの電報だ」と、彼女は体じゅう震えだしながら思う。
[1] 「母親がサーシャをハリコフの自分のところへ呼び戻すのだ……
[2] ああ、神さま！」

## p093（2セグメント）
[0] 彼女は絶望する。頭も、足も、手も冷たくなって、この世に自分より不幸な者はいないと思われる。
[1] だがもう一分たつと、声が聞こえる。獣医がクラブから帰ってきたのだ。

## p094（1セグメント）
[0] 「ああ、神さまのおかげだ」と、彼女は思う。

## p095（1セグメント）
[0] 胸から少しずつ重さが離れて、また楽になる。彼女は横になって、隣の部屋でぐっすり眠り、ときおり寝言でこう言うサーシャのことを思う。

## p096（3セグメント）
[0] 「お、おまえなんか！
[1] 出て行け！
[2] なぐるな！」
